sim_idx,model,family,memory,memory_k,projectname,cogtype,parser,taskname,tasktype,chain_type,trace_id,tunnel_id,trial_idx,trcode,context_item,stimulus,pred_resp_raw,resp_Vividness,fb_response
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,exp1_1_non_weird_task_Cv,custom,1,vviq16,imagery,task,20260507T16-57-36exp1_1_non_weird_task_CvConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-exp1_1_non_weird_task_Cv,0,S1_1,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye.,"The exact contour of face, head, shoulders and body.",{'Vividness': 4},4,
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,exp1_1_non_weird_task_Cv,custom,1,vviq16,imagery,task,20260507T16-57-36exp1_1_non_weird_task_CvConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-exp1_1_non_weird_task_Cv,1,S1_2,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye.,"Characteristic poses of head, attitudes of body, etc.",{'Vividness': 4},4,
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,exp1_1_non_weird_task_Cv,custom,1,vviq16,imagery,task,20260507T16-57-36exp1_1_non_weird_task_CvConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-exp1_1_non_weird_task_Cv,2,S1_3,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye.,"The precise carriage, length of step, etc. in walking.",{'Vividness': 4},4,
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,exp1_1_non_weird_task_Cv,custom,1,vviq16,imagery,task,20260507T16-57-36exp1_1_non_weird_task_CvConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-exp1_1_non_weird_task_Cv,3,S1_4,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye.,The different colours worn in some familiar clothes.,{'Vividness': 4},4,
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,exp1_1_non_weird_task_Cv,custom,1,vviq16,imagery,task,20260507T16-57-36exp1_1_non_weird_task_CvConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-exp1_1_non_weird_task_Cv,4,S2_1,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,The sun is rising above the horizon into a hazy sky.,{'Vividness': 4},4,
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,exp1_1_non_weird_task_Cv,custom,1,vviq16,imagery,task,20260507T16-57-36exp1_1_non_weird_task_CvConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-exp1_1_non_weird_task_Cv,5,S2_2,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,The sky clears and surrounds the sun with blueness.,{'Vividness': 4},4,
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,exp1_1_non_weird_task_Cv,custom,1,vviq16,imagery,task,20260507T16-57-36exp1_1_non_weird_task_CvConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-exp1_1_non_weird_task_Cv,6,S2_3,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,"Clouds. A storm blows up, with flashes of lightning strikes.",{'Vividness': 4},4,
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,exp1_1_non_weird_task_Cv,custom,1,vviq16,imagery,task,20260507T16-57-36exp1_1_non_weird_task_CvConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-exp1_1_non_weird_task_Cv,7,S2_4,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,A rainbow appears.,{'Vividness': 5},5,
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,exp1_1_non_weird_task_Cv,custom,1,vviq16,imagery,task,20260507T16-57-36exp1_1_non_weird_task_CvConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-exp1_1_non_weird_task_Cv,8,S3_1,Think of the front of a shop which you often go to. Consider the picture that comes before your mind's eye.,The overall appearance of the shop from the opposite side of the road.,{'Vividness': 4},4,
0,smollm2:360m-instruct-fp16,ollama,Convo,-1,exp1_1_non_weird_task_Cv,custom,1,vviq16,imagery,task,20260507T16-57-36exp1_1_non_weird_task_CvConvovviq160,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-Convo-exp1_1_non_weird_task_Cv,9,S3_2,Think of the front of a shop which you often go to. Consider the picture that comes before your mind's eye.,"A window display including colour, shape and details of the articles in it.",{'Vividness': 4},4,
