trcode,left_gain,left_loss,left_gain_probability,right_gain,right_loss,right_gain_probability,left_expected_value,right_expected_value,expected_value_difference,gain_difference,loss_difference,probability_difference,dominance_relation,previous_expected_value_difference,value_difference_transition
prospect_01,84.4,75.8,0.429,25.9,51.1,0.414,-7.07,-19.22,12.15,58.5,24.7,0.015,no_dominance,,
prospect_02,78.4,30.3,0.479,58.3,90.8,0.504,21.77,-15.65,37.42,20.1,-60.5,-0.025,no_dominance,37.42,repeat
prospect_03,28.2,75.6,0.607,25.1,91.0,0.935,-12.59,17.55,-30.15,3.1,-15.4,-0.328,no_dominance,-30.15,switch
prospect_04,81.0,90.2,0.329,73.0,89.9,0.666,-33.88,18.59,-52.47,8.0,0.3,-0.337,no_dominance,-52.47,repeat
prospect_05,47.2,10.1,0.441,61.1,91.3,0.92,15.17,48.91,-33.74,-13.9,-81.2,-0.479,no_dominance,-33.74,repeat
prospect_06,47.7,86.5,0.284,80.5,54.9,0.063,-48.39,-46.37,-2.02,-32.8,31.6,0.221,no_dominance,-2.02,repeat
prospect_07,72.0,39.9,0.792,66.8,0.1,0.494,48.72,32.95,15.78,5.2,39.8,0.298,no_dominance,15.78,switch
prospect_08,86.8,24.4,0.343,87.0,19.1,0.561,13.74,40.42,-26.68,-0.2,5.3,-0.218,right_dominates,-26.68,switch
prospect_09,23.9,96.8,0.773,44.8,8.0,0.338,-3.5,9.85,-13.35,-20.9,88.8,0.435,no_dominance,-13.35,repeat
prospect_10,50.8,93.3,0.148,55.1,70.7,0.543,-71.97,-2.39,-69.58,-4.3,22.6,-0.395,right_dominates,-69.58,repeat
prospect_11,81.4,54.0,0.917,60.3,58.8,0.45,70.16,-5.21,75.37,21.1,-4.8,0.467,left_dominates,75.37,switch
prospect_12,59.6,38.5,0.568,29.0,18.9,0.218,17.22,-8.46,25.68,30.6,19.6,0.35,no_dominance,25.68,repeat
prospect_13,61.3,65.7,0.479,9.0,75.8,0.839,-4.87,-4.65,-0.21,52.3,-10.1,-0.36,no_dominance,-0.21,switch
prospect_14,92.3,84.2,0.858,92.3,54.1,0.402,67.24,4.75,62.48,0.0,30.1,0.456,no_dominance,62.48,switch
prospect_15,70.5,27.6,0.78,84.9,89.5,0.581,48.92,11.83,37.09,-14.4,-61.9,0.199,no_dominance,37.09,repeat
prospect_16,95.0,58.0,0.456,66.0,99.6,0.875,11.77,45.3,-33.53,29.0,-41.6,-0.419,no_dominance,-33.53,switch
prospect_17,79.3,8.2,0.602,48.6,63.0,0.811,44.48,27.51,16.97,30.7,-54.8,-0.209,no_dominance,16.97,switch
prospect_18,24.3,73.1,0.155,22.0,79.5,0.349,-58.0,-44.08,-13.93,2.3,-6.4,-0.194,no_dominance,-13.93,switch
prospect_19,81.6,10.1,0.182,69.8,4.5,0.566,6.59,37.55,-30.96,11.8,5.6,-0.384,no_dominance,-30.96,repeat
prospect_20,91.0,53.4,0.663,2.7,63.5,0.596,42.34,-24.04,66.38,88.3,-10.1,0.067,left_dominates,66.38,switch
