sim_idx,model,family,memory,memory_k,projectname,cogtype,parser,taskname,tasktype,chain_type,trace_id,tunnel_id,trial_idx,trcode,context_item,stimulus,pred_resp_raw,fb_response,resp_recalled_word,resp_confidence
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,0,L0_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'cat' is paired with 'umbrella'.,"I've taken note of the word pair ""cat"" and ""umbrella"" during the study phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,1,L0_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'moon' is paired with 'pencil'.,"I've studied the word pair ""moon"" and ""pencil"" for the study phase. I'm ready to move on to the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,2,L0_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'tree' is paired with 'sock'.,"I've taken note of the word pair ""tree"" and ""sock"" during the study phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,3,L25_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'lion' is paired with 'tiger'.,"I've studied the word pair ""lion"" and ""tiger"". I'm ready to move on to the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,4,L25_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'rose' is paired with 'daisy'.,"I've studied the word pair ""rose"" and ""daisy"". I'm ready to move on to the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,5,L25_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'oak' is paired with 'pine'.,"I've studied the word pair. The first word is ""oak"" and the second word is ""pine"". I'm ready to move on to the next pair.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,6,L50_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'bee' is paired with 'honey'.,"I've studied the word pair ""bee"" and ""honey"".",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,7,L50_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'fire' is paired with 'smoke'.,"I've studied the word pair ""fire"" and ""smoke"". I'm ready to move on to the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,8,L50_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'pen' is paired with 'ink'.,"I've taken note of the word pair ""pen"" paired with ""ink"" during the STUDY PHASE.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,9,L75_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'salt' is paired with 'pepper'.,"I've taken note of the word pair ""salt"" paired with ""pepper"" during the STUDY PHASE.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,10,L75_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'bread' is paired with 'butter'.,"I've got it! The word pair to remember is:

Bread - Butter",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,11,L75_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'black' is paired with 'white'.,"I've taken note of the word pair ""black"" and ""white"" for the study phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,12,L100_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'big' is paired with 'large'.,"I've taken note of the word pair ""big - large"" during the study phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,13,L100_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'happy' is paired with 'joyful'.,"I've got it! The word pair to remember is:

Happy - Joyful",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,14,L100_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'fast' is paired with 'quick'.,"I've studied the word pair ""fast"" and ""quick"". I'll remember it for the test phase.",,,
0,meta-llama/llama-3.1-8b-instruct,openrouter,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-50-25pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-meta-llama/llama-3.1-8b-instruct-family-openrouter-memory-SingleTurn-pal_single_turn,15,L0_tst_01,"",TEST PHASE — What word was paired with 'cat' during the study phase?,"{'recalled_word': 'dog', 'confidence': 1}",,dog,1
