sim_idx,model,family,memory,memory_k,projectname,cogtype,parser,taskname,tasktype,chain_type,trace_id,tunnel_id,trial_idx,trcode,context_item,stimulus,pred_resp_raw,fb_response,resp_recalled_word,resp_confidence
0,openai/gpt-oss-120b,groq,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-27-41pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-SingleTurn-pal_single_turn,0,L0_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'cat' is paired with 'umbrella'.,Got it! I've noted that **cat ↔ umbrella**. Let me know when you're ready to add more pairs or move on to the test phase.,,,
0,openai/gpt-oss-120b,groq,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-27-41pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-SingleTurn-pal_single_turn,1,L0_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'moon' is paired with 'pencil'.,Got it—I’ve noted that the word **“moon”** is paired with **“pencil.”**,,,
0,openai/gpt-oss-120b,groq,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-27-41pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-SingleTurn-pal_single_turn,2,L0_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'tree' is paired with 'sock'.,Got it—I’ve noted that the word **“tree”** is paired with **“sock.”**,,,
0,openai/gpt-oss-120b,groq,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-27-41pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-SingleTurn-pal_single_turn,3,L25_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'lion' is paired with 'tiger'.,Got it—I’ve noted that **lion** is paired with **tiger**. Feel free to give the next pair when you’re ready.,,,
0,openai/gpt-oss-120b,groq,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-27-41pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-SingleTurn-pal_single_turn,4,L25_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'rose' is paired with 'daisy'.,Got it—I’ve noted that the word **“rose”** is paired with **“daisy.”**,,,
0,openai/gpt-oss-120b,groq,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-27-41pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-SingleTurn-pal_single_turn,5,L25_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'oak' is paired with 'pine'.,Got it—I've noted that the word **oak** is paired with **pine**.,,,
0,openai/gpt-oss-120b,groq,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-27-41pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-SingleTurn-pal_single_turn,6,L50_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'bee' is paired with 'honey'.,Got it—I’ve noted that **bee → honey**. Let me know when you’re ready to add more pairs or move on to the test phase.,,,
0,openai/gpt-oss-120b,groq,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-27-41pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-SingleTurn-pal_single_turn,7,L50_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'fire' is paired with 'smoke'.,Got it—**fire** is paired with **smoke**. I’ll keep that association in mind. Feel free to give the next pair when you’re ready.,,,
0,openai/gpt-oss-120b,groq,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-27-41pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-SingleTurn-pal_single_turn,8,L50_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'pen' is paired with 'ink'.,Got it—I’ve noted that **“pen”** is paired with **“ink.”**,,,
0,openai/gpt-oss-120b,groq,SingleTurn,-1,pal_single_turn,no,0,pal_subset_block,episodic,item,20260820T11-27-41pal_single_turnSingleTurnpal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-SingleTurn-pal_single_turn,9,L75_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'salt' is paired with 'pepper'.,Got it—I’ve noted that **“salt”** is paired with **“pepper.”** Let me know when you’re ready for the next pair or the test phase!,,,
