sim_idx,model,family,memory,memory_k,projectname,cogtype,parser,taskname,tasktype,chain_type,trace_id,tunnel_id,trial_idx,trcode,context_item,stimulus,pred_resp_raw,resp_rating,fb_response
0,smollm2:360m-instruct-fp16,ollama,SingleTurn,-1,exp1_2a_weird_item_ST,custom,1,bfi44,personality,item,20260507T19-36-29exp1_2a_weird_item_STSingleTurnbfi440,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-SingleTurn-exp1_2a_weird_item_ST,0,E_01,Extraversion,I see myself as someone who is talkative.,{'rating': 3},3,
0,smollm2:360m-instruct-fp16,ollama,SingleTurn,-1,exp1_2a_weird_item_ST,custom,1,bfi44,personality,item,20260507T19-36-29exp1_2a_weird_item_STSingleTurnbfi440,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-SingleTurn-exp1_2a_weird_item_ST,1,A_01,Agreeableness,I see myself as someone who tends to find fault with others.,{'rating': 3},3,
0,smollm2:360m-instruct-fp16,ollama,SingleTurn,-1,exp1_2a_weird_item_ST,custom,1,bfi44,personality,item,20260507T19-36-29exp1_2a_weird_item_STSingleTurnbfi440,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-SingleTurn-exp1_2a_weird_item_ST,2,C_01,Conscientiousness,I see myself as someone who does a thorough job.,{'rating': 4},4,
0,smollm2:360m-instruct-fp16,ollama,SingleTurn,-1,exp1_2a_weird_item_ST,custom,1,bfi44,personality,item,20260507T19-36-29exp1_2a_weird_item_STSingleTurnbfi440,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-SingleTurn-exp1_2a_weird_item_ST,3,N_01,Neuroticism,"I see myself as someone who is depressed, blue.",{'rating': 3},3,
0,smollm2:360m-instruct-fp16,ollama,SingleTurn,-1,exp1_2a_weird_item_ST,custom,1,bfi44,personality,item,20260507T19-36-29exp1_2a_weird_item_STSingleTurnbfi440,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-SingleTurn-exp1_2a_weird_item_ST,4,O_01,Openness to Experience,"I see myself as someone who is original, comes up with new ideas.",{'rating': 4},4,
0,smollm2:360m-instruct-fp16,ollama,SingleTurn,-1,exp1_2a_weird_item_ST,custom,1,bfi44,personality,item,20260507T19-36-29exp1_2a_weird_item_STSingleTurnbfi440,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-SingleTurn-exp1_2a_weird_item_ST,5,E_02,Extraversion,I see myself as someone who is reserved.,{'rating': 3},3,
0,smollm2:360m-instruct-fp16,ollama,SingleTurn,-1,exp1_2a_weird_item_ST,custom,1,bfi44,personality,item,20260507T19-36-29exp1_2a_weird_item_STSingleTurnbfi440,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-SingleTurn-exp1_2a_weird_item_ST,6,A_02,Agreeableness,I see myself as someone who is helpful and unselfish with others.,{'rating': 4},4,
0,smollm2:360m-instruct-fp16,ollama,SingleTurn,-1,exp1_2a_weird_item_ST,custom,1,bfi44,personality,item,20260507T19-36-29exp1_2a_weird_item_STSingleTurnbfi440,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-SingleTurn-exp1_2a_weird_item_ST,7,C_02,Conscientiousness,I see myself as someone who can be somewhat careless.,{'rating': 3},3,
0,smollm2:360m-instruct-fp16,ollama,SingleTurn,-1,exp1_2a_weird_item_ST,custom,1,bfi44,personality,item,20260507T19-36-29exp1_2a_weird_item_STSingleTurnbfi440,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-SingleTurn-exp1_2a_weird_item_ST,8,N_02,Neuroticism,"I see myself as someone who is relaxed, handles stress well.",{'rating': 4},4,
0,smollm2:360m-instruct-fp16,ollama,SingleTurn,-1,exp1_2a_weird_item_ST,custom,1,bfi44,personality,item,20260507T19-36-29exp1_2a_weird_item_STSingleTurnbfi440,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-SingleTurn-exp1_2a_weird_item_ST,9,O_02,Openness to Experience,I see myself as someone who is curious about many different things.,{'rating': 4},4,
0,smollm2:360m-instruct-fp16,ollama,SingleTurn,-1,exp1_2a_weird_item_ST,custom,1,bfi44,personality,item,20260507T19-36-29exp1_2a_weird_item_STSingleTurnbfi440,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-SingleTurn-exp1_2a_weird_item_ST,10,E_03,Extraversion,I see myself as someone who is full of energy.,{'rating': 4},4,
0,smollm2:360m-instruct-fp16,ollama,SingleTurn,-1,exp1_2a_weird_item_ST,custom,1,bfi44,personality,item,20260507T19-36-29exp1_2a_weird_item_STSingleTurnbfi440,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-SingleTurn-exp1_2a_weird_item_ST,11,A_03,Agreeableness,I see myself as someone who starts quarrels with others.,{'rating': 3},3,
0,smollm2:360m-instruct-fp16,ollama,SingleTurn,-1,exp1_2a_weird_item_ST,custom,1,bfi44,personality,item,20260507T19-36-29exp1_2a_weird_item_STSingleTurnbfi440,sidx-[0]-model-smollm2:360m-instruct-fp16-family-ollama-memory-SingleTurn-exp1_2a_weird_item_ST,12,C_03,Conscientiousness,I see myself as someone who is a reliable worker.,{'rating': 4},4,
