persona,memory_cond,scene,mean_vividness,sd_vividness,n
non_weird,item_ST,S1,4.0,0.0,20
non_weird,item_ST,S2,4.0,0.0,20
non_weird,item_ST,S3,4.0,0.0,20
non_weird,item_ST,S4,4.0,0.0,20
non_weird,task_Cv,S1,4.0,0.0,20
non_weird,task_Cv,S2,4.25,0.4442616583193192,20
non_weird,task_Cv,S3,4.0,0.0,20
non_weird,task_Cv,S4,4.0,0.0,20
non_weird,trial_Cv,S1,3.0,1.4509525002200232,20
non_weird,trial_Cv,S2,3.25,0.9665456669582609,20
non_weird,trial_Cv,S3,2.95,1.394538218230416,20
non_weird,trial_Cv,S4,2.95,1.394538218230416,20
weird,item_ST,S1,4.0,0.0,20
weird,item_ST,S2,4.0,0.0,20
weird,item_ST,S3,4.0,0.0,20
weird,item_ST,S4,4.0,0.0,20
weird,task_Cv,S1,4.0,0.0,20
weird,task_Cv,S2,4.25,0.4442616583193192,20
weird,task_Cv,S3,4.0,0.0,20
weird,task_Cv,S4,4.0,0.0,20
weird,trial_Cv,S1,3.0,1.4509525002200232,20
weird,trial_Cv,S2,3.25,0.9665456669582609,20
weird,trial_Cv,S3,2.85,1.2680278927697548,20
weird,trial_Cv,S4,2.95,1.394538218230416,20
