agent,domain,rep,attribute,reported_weight,target_weight,trained
Jean Valjean,condos,0,square_footage,815.0,68.88437030500961,True
Jean Valjean,condos,0,ceiling_height,11.3,51.590880588060486,True
Jean Valjean,condos,0,walkability_score,77.3,-15.885683833830996,True
Jean Valjean,condos,0,monthly_hoa,341.3,-48.21664994140733,True
Jean Valjean,condos,0,natural_light_hours,5.5,2.254944273721705,True
Jean Valjean,condos,1,square_footage,815.0,68.88437030500961,True
Jean Valjean,condos,1,ceiling_height,11.3,51.590880588060486,True
Jean Valjean,condos,1,walkability_score,77.3,-15.885683833830996,True
Jean Valjean,condos,1,monthly_hoa,341.3,-48.21664994140733,True
Jean Valjean,condos,1,natural_light_hours,5.5,2.254944273721705,True
Jean Valjean,condos,2,square_footage,815.0,68.88437030500961,True
Jean Valjean,condos,2,ceiling_height,11.3,51.590880588060486,True
Jean Valjean,condos,2,walkability_score,77.3,-15.885683833830996,True
Jean Valjean,condos,2,monthly_hoa,341.3,-48.21664994140733,True
Jean Valjean,condos,2,natural_light_hours,5.5,2.254944273721705,True
Jean Valjean,condos,3,square_footage,815.0,68.88437030500961,True
Jean Valjean,condos,3,ceiling_height,11.3,51.590880588060486,True
Jean Valjean,condos,3,walkability_score,77.3,-15.885683833830996,True
Jean Valjean,condos,3,monthly_hoa,341.3,-48.21664994140733,True
Jean Valjean,condos,3,natural_light_hours,5.5,2.254944273721705,True
Elizabeth Bennet,vacations,0,cost_usd,532.4,-19.01317250991714,True
Elizabeth Bennet,vacations,0,flight_hours,6.8,56.75971780695451,True
Elizabeth Bennet,vacations,0,avg_temp_f,66.0,-39.33745478421451,True
Elizabeth Bennet,vacations,0,activity_count,5.4,-4.680609169528836,True
Elizabeth Bennet,vacations,0,review_score,2.8,16.676407891006235,True
Elizabeth Bennet,vacations,1,cost_usd,532.4,-19.01317250991714,True
Elizabeth Bennet,vacations,1,flight_hours,6.8,56.75971780695451,True
Elizabeth Bennet,vacations,1,avg_temp_f,66.0,-39.33745478421451,True
Elizabeth Bennet,vacations,1,activity_count,5.4,-4.680609169528836,True
Elizabeth Bennet,vacations,1,review_score,2.8,16.676407891006235,True
Elizabeth Bennet,vacations,2,cost_usd,532.4,-19.01317250991714,True
Elizabeth Bennet,vacations,2,flight_hours,6.8,56.75971780695451,True
Elizabeth Bennet,vacations,2,avg_temp_f,66.0,-39.33745478421451,True
Elizabeth Bennet,vacations,2,activity_count,5.4,-4.680609169528836,True
Elizabeth Bennet,vacations,2,review_score,2.8,16.676407891006235,True
Elizabeth Bennet,vacations,3,cost_usd,532.4,-19.01317250991714,True
Elizabeth Bennet,vacations,3,flight_hours,6.8,56.75971780695451,True
Elizabeth Bennet,vacations,3,avg_temp_f,66.0,-39.33745478421451,True
Elizabeth Bennet,vacations,3,activity_count,5.4,-4.680609169528836,True
Elizabeth Bennet,vacations,3,review_score,2.8,16.676407891006235,True
Sherlock Holmes,laptops,0,price_usd,-100.0,81.62257703906704,True
Sherlock Holmes,laptops,0,battery_life_hrs,5.8,0.9373711634780477,True
Sherlock Holmes,laptops,0,weight_lbs,2.8,-43.63243112005924,True
Sherlock Holmes,laptops,0,screen_nits,649.0,51.16084083144477,True
Sherlock Holmes,laptops,0,storage_gb,3976.2,23.67379933506632,True
Sherlock Holmes,laptops,1,price_usd,-100.0,81.62257703906704,True
Sherlock Holmes,laptops,1,battery_life_hrs,5.8,0.9373711634780477,True
Sherlock Holmes,laptops,1,weight_lbs,2.8,-43.63243112005924,True
Sherlock Holmes,laptops,1,screen_nits,649.0,51.16084083144477,True
Sherlock Holmes,laptops,1,storage_gb,3976.2,23.67379933506632,True
Sherlock Holmes,laptops,2,price_usd,-100.0,81.62257703906704,True
Sherlock Holmes,laptops,2,battery_life_hrs,5.8,0.9373711634780477,True
Sherlock Holmes,laptops,2,weight_lbs,2.8,-43.63243112005924,True
Sherlock Holmes,laptops,2,screen_nits,649.0,51.16084083144477,True
Sherlock Holmes,laptops,2,storage_gb,3976.2,23.67379933506632,True
Sherlock Holmes,laptops,3,price_usd,-100.0,81.62257703906704,True
Sherlock Holmes,laptops,3,battery_life_hrs,5.8,0.9373711634780477,True
Sherlock Holmes,laptops,3,weight_lbs,2.8,-43.63243112005924,True
Sherlock Holmes,laptops,3,screen_nits,649.0,51.16084083144477,True
Sherlock Holmes,laptops,3,storage_gb,3976.2,23.67379933506632,True
Atticus Finch,used_cars,0,price_usd,-100.0,-49.898731727511894,True
Atticus Finch,used_cars,0,mileage,100.0,81.94925119364802,True
Atticus Finch,used_cars,0,mpg,200.0,96.55709520753061,True
Atticus Finch,used_cars,0,age_years,50.0,62.04344719931791,True
Atticus Finch,used_cars,0,safety_rating,100.0,80.43319008791653,True
Atticus Finch,used_cars,1,price_usd,-100.0,-49.898731727511894,True
Atticus Finch,used_cars,1,mileage,100.0,81.94925119364802,True
Atticus Finch,used_cars,1,mpg,200.0,96.55709520753061,True
Atticus Finch,used_cars,1,age_years,50.0,62.04344719931791,True
Atticus Finch,used_cars,1,safety_rating,100.0,80.43319008791653,True
Atticus Finch,used_cars,2,price_usd,-100.0,-49.898731727511894,True
Atticus Finch,used_cars,2,mileage,100.0,81.94925119364802,True
Atticus Finch,used_cars,2,mpg,200.0,96.55709520753061,True
Atticus Finch,used_cars,2,age_years,50.0,62.04344719931791,True
Atticus Finch,used_cars,2,safety_rating,100.0,80.43319008791653,True
Atticus Finch,used_cars,3,price_usd,-100.0,-49.898731727511894,True
Atticus Finch,used_cars,3,mileage,100.0,81.94925119364802,True
Atticus Finch,used_cars,3,mpg,200.0,96.55709520753061,True
