sim_idx,model,family,memory,memory_k,projectname,cogtype,parser,taskname,tasktype,chain_type,trace_id,tunnel_id,trial_idx,trcode,context_item,stimulus,pred_resp_raw,fb_response,resp_recalled_word,resp_confidence
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L0_pr_01,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,0,L0_pr_01,"",STUDY PHASE — Please remember this word pair: the word 'cat' is paired with 'umbrella'.,Got it—I’ve noted that **“cat” ↔ “umbrella.”** I’m ready for the next pair whenever you are.,,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L0_pr_01,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,1,L0_pr_01,"",TEST PHASE — What word was paired with 'cat' during the study phase?,"{'recalled_word': 'umbrella', 'confidence': 6}",,umbrella,6
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L0_pr_02,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,2,L0_pr_02,"",STUDY PHASE — Please remember this word pair: the word 'moon' is paired with 'pencil'.,Got it—I’ve noted that the word **“moon”** is paired with **“pencil.”**,,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L0_pr_02,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,3,L0_pr_02,"",TEST PHASE — What word was paired with 'moon' during the study phase?,"{'recalled_word': 'pencil', 'confidence': 6}",,pencil,6
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L0_pr_03,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,4,L0_pr_03,"",STUDY PHASE — Please remember this word pair: the word 'tree' is paired with 'sock'.,Got it—I've noted that **tree → sock**.,,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L0_pr_03,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,5,L0_pr_03,"",TEST PHASE — What word was paired with 'tree' during the study phase?,"{'recalled_word': 'sock', 'confidence': 6}",,sock,6
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L25_pr_01,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,6,L25_pr_01,"",STUDY PHASE — Please remember this word pair: the word 'lion' is paired with 'tiger'.,Got it—I’ve noted that **lion** is paired with **tiger**. Feel free to give the next pair when you’re ready.,,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L25_pr_01,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,7,L25_pr_01,"",TEST PHASE — What word was paired with 'lion' during the study phase?,"{'recalled_word': 'tiger', 'confidence': 5}",,tiger,5
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L25_pr_02,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,8,L25_pr_02,"",STUDY PHASE — Please remember this word pair: the word 'rose' is paired with 'daisy'.,Got it—I’ve noted that the word **“rose”** is paired with **“daisy.”**,,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L25_pr_02,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,9,L25_pr_02,"",TEST PHASE — What word was paired with 'rose' during the study phase?,"{'recalled_word': 'daisy', 'confidence': 6}",,daisy,6
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L25_pr_03,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,10,L25_pr_03,"",STUDY PHASE — Please remember this word pair: the word 'oak' is paired with 'pine'.,Got it—oak is paired with pine.,,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L25_pr_03,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,11,L25_pr_03,"",TEST PHASE — What word was paired with 'oak' during the study phase?,"{'recalled_word': 'pine', 'confidence': 6}",,pine,6
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L50_pr_01,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,12,L50_pr_01,"",STUDY PHASE — Please remember this word pair: the word 'bee' is paired with 'honey'.,Got it—I’ve noted that **bee → honey**. Let me know when you’re ready to add more pairs or move on to the test phase.,,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L50_pr_01,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,13,L50_pr_01,"",TEST PHASE — What word was paired with 'bee' during the study phase?,"{'recalled_word': 'honey', 'confidence': 6}",,honey,6
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L50_pr_02,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,14,L50_pr_02,"",STUDY PHASE — Please remember this word pair: the word 'fire' is paired with 'smoke'.,Got it! I've noted that **fire → smoke**. Let me know when you're ready to add more pairs or move on to the test phase.,,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L50_pr_02,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,15,L50_pr_02,"",TEST PHASE — What word was paired with 'fire' during the study phase?,"{'recalled_word': 'smoke', 'confidence': 6}",,smoke,6
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L50_pr_03,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,16,L50_pr_03,"",STUDY PHASE — Please remember this word pair: the word 'pen' is paired with 'ink'.,Got it—I’ve noted that **pen → ink**.,,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L50_pr_03,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,17,L50_pr_03,"",TEST PHASE — What word was paired with 'pen' during the study phase?,"{'recalled_word': 'ink', 'confidence': 6}",,ink,6
0,openai/gpt-oss-120b,groq,Convo,-1,pal_trial_chain,no,0,pal_subset_trial,episodic,trial,20260820T11-28-35pal_trial_chainConvopal_subset_trial0L75_pr_01,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_trial_chain,18,L75_pr_01,"",STUDY PHASE — Please remember this word pair: the word 'salt' is paired with 'pepper'.,Got it—I’ve noted that **“salt”** is paired with **“pepper.”** Let me know when you’re ready for the next pair or the test phase!,,,
