sim_idx,model,family,memory,memory_k,projectname,cogtype,parser,taskname,tasktype,chain_type,trace_id,tunnel_id,trial_idx,trcode,context_item,stimulus,pred_resp_raw,fb_response,resp_recalled_word,resp_confidence
0,openai/gpt-oss-120b,groq,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-37-33pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_feedback_ci,0,L0_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'cat' is paired with 'umbrella'.,Got it—I’ve noted that **“cat” ↔ “umbrella.”** I’m ready for the next pair whenever you are.,,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-37-33pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_feedback_ci,1,L0_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'moon' is paired with 'pencil'.,"Understood—added to the list:

- **cat ↔ umbrella**  
- **moon ↔ pencil**

Let me know the next pair when you’re ready!",,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-37-33pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_feedback_ci,2,L0_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'tree' is paired with 'sock'.,"Got it—added to the list:

- **cat ↔ umbrella**  
- **moon ↔ pencil**  
- **tree ↔ sock**

Ready for the next pair whenever you are!",,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-37-33pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_feedback_ci,3,L25_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'lion' is paired with 'tiger'.,"Got it—added to the list:

- **cat ↔ umbrella**  
- **moon ↔ pencil**  
- **tree ↔ sock**  
- **lion ↔ tiger**

Let me know the next pair when you’re ready!",,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-37-33pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_feedback_ci,4,L25_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'rose' is paired with 'daisy'.,"Got it—added to the list:

- **cat ↔ umbrella**  
- **moon ↔ pencil**  
- **tree ↔ sock**  
- **lion ↔ tiger**  
- **rose ↔ daisy**

Just let me know the next pair when you’re ready!",,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-37-33pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_feedback_ci,5,L25_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'oak' is paired with 'pine'.,"Got it—added to the list:

- **cat ↔ umbrella**  
- **moon ↔ pencil**  
- **tree ↔ sock**  
- **lion ↔ tiger**  
- **rose ↔ daisy**  
- **oak ↔ pine**

Just let me know the next pair when you’re ready!",,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-37-33pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_feedback_ci,6,L50_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'bee' is paired with 'honey'.,"Got it—added to the list:

- **cat ↔ umbrella**  
- **moon ↔ pencil**  
- **tree ↔ sock**  
- **lion ↔ tiger**  
- **rose ↔ daisy**  
- **oak ↔ pine**  
- **bee ↔ honey**

Let me know the next pair whenever you’re ready!",,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-37-33pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_feedback_ci,7,L50_enc_02,"",STUDY PHASE — Please remember this word pair: the word 'fire' is paired with 'smoke'.,"Got it—added to the list:

- **cat ↔ umbrella**  
- **moon ↔ pencil**  
- **tree ↔ sock**  
- **lion ↔ tiger**  
- **rose ↔ daisy**  
- **oak ↔ pine**  
- **bee ↔ honey**  
- **fire ↔ smoke**

Just let me know the next pair when you’re ready!",,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-37-33pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_feedback_ci,8,L50_enc_03,"",STUDY PHASE — Please remember this word pair: the word 'pen' is paired with 'ink'.,"Got it—added to the list:

- **cat ↔ umbrella**  
- **moon ↔ pencil**  
- **tree ↔ sock**  
- **lion ↔ tiger**  
- **rose ↔ daisy**  
- **oak ↔ pine**  
- **bee ↔ honey**  
- **fire ↔ smoke**  
- **pen ↔ ink**

Let me know the next pair whenever you’re ready!",,,
0,openai/gpt-oss-120b,groq,Convo,-1,pal_feedback_ci,no,0,pal_subset_block,episodic,task,20260820T11-37-33pal_feedback_ciConvopal_subset_block0,sidx-[0]-model-openai/gpt-oss-120b-family-groq-memory-Convo-pal_feedback_ci,9,L75_enc_01,"",STUDY PHASE — Please remember this word pair: the word 'salt' is paired with 'pepper'.,"Got it—added to the list:

- **cat ↔ umbrella**  
- **moon ↔ pencil**  
- **tree ↔ sock**  
- **lion ↔ tiger**  
- **rose ↔ daisy**  
- **oak ↔ pine**  
- **bee ↔ honey**  
- **fire ↔ smoke**  
- **pen ↔ ink**  
- **salt ↔ pepper**

Just let me know the next pair when you’re ready!",,,
